zone_id,counter,date,day_of_week,is_weekend,month,is_summer,temperature_f,precip_chance,nearby_event_type,base_foot_traffic,foot_traffic
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-02,0,0,9,0,65.7,0.08,none,3700,3847
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-03,1,0,9,0,65.0,0.01,none,3700,3992
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-04,2,0,9,0,64.2,0.0,none,3700,4328
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-05,3,0,9,0,70.1,0.0,none,3700,3861
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-06,4,0,9,0,70.4,0.0,none,3700,3779
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-07,5,1,9,0,69.2,0.0,none,3700,4606
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-08,6,1,9,0,69.8,0.0,none,3700,4502
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-09,0,0,9,0,64.8,0.02,none,3700,4090
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-10,1,0,9,0,65.0,0.02,none,3700,3546
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-11,2,0,9,0,61.9,0.14,none,3700,3662
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-12,3,0,9,0,61.4,0.0,none,3700,3996
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-13,4,0,9,0,60.2,0.22,none,3700,3106
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-14,5,1,9,0,62.2,1.0,none,3700,2694
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-15,6,1,9,0,59.4,0.04,none,3700,4575
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-16,0,0,9,0,60.1,0.0,none,3700,4232
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-17,1,0,9,0,57.4,0.07,none,3700,3328
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-18,2,0,9,0,61.9,0.11,none,3700,4318
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-19,3,0,9,0,58.8,0.0,none,3700,3989
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-20,4,0,9,0,59.2,0.07,none,3700,3598
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-21,5,1,9,0,59.0,0.0,none,3700,5477
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-22,6,1,9,0,58.7,0.0,none,3700,4658
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-23,0,0,9,0,65.2,0.03,none,3700,3505
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-24,1,0,9,0,65.4,0.0,none,3700,4337
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-25,2,0,9,0,59.4,1.0,none,3700,1929
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-26,3,0,9,0,59.3,0.54,none,3700,3345
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-27,4,0,9,0,58.8,0.01,none,3700,5286
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-28,5,1,9,0,56.5,0.0,none,3700,3656
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-29,6,1,9,0,55.6,0.0,none,3700,4519
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-30,0,0,9,0,55.2,0.0,none,3700,4227
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-01,1,0,10,0,55.6,0.02,none,3700,3830
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-02,2,0,10,0,54.2,0.02,none,3700,3858
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-03,3,0,10,0,55.3,0.0,none,3700,4299
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-04,4,0,10,0,56.0,0.99,none,3700,3032
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-05,5,1,10,0,56.8,0.0,none,3700,3953
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-06,6,1,10,0,57.8,0.0,none,3700,4865
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-07,0,0,10,0,59.6,0.0,none,3700,4008
